"truncated_date","total_price"
"2019-03-04 00:00:00","53928.00"
"2019-06-20 00:00:00","53928.00"
"2019-07-05 00:00:00","53928.00"
"2019-04-23 00:00:00","52344.00"
"2019-05-27 00:00:00","49560.00"
"2019-10-17 00:00:00","46320.00"
"2019-10-01 00:00:00","45144.00"
"2019-06-09 00:00:00","43416.00"
"2019-01-28 00:00:00","43008.00"
"2019-07-02 00:00:00","42876.00"
"2019-11-14 00:00:00","41904.00"
"2019-11-07 00:00:00","41904.00"
"2019-04-28 00:00:00","39708.00"
"2019-01-11 00:00:00","39636.00"
"2019-04-14 00:00:00","39168.00"
"2019-11-02 00:00:00","38688.00"
"2019-06-04 00:00:00","38688.00"
"2019-03-23 00:00:00","37776.00"
"2019-07-06 00:00:00","37344.00"
"2019-09-10 00:00:00","36960.00"
"2019-02-03 00:00:00","34956.00"
"2019-03-02 00:00:00","34752.00"
"2019-03-03 00:00:00","34416.00"
"2019-12-15 00:00:00","34272.00"
"2019-08-07 00:00:00","33480.00"
"2019-04-06 00:00:00","32448.00"
"2019-09-25 00:00:00","31488.00"
"2019-08-19 00:00:00","31176.00"
"2019-05-29 00:00:00","30336.00"
"2019-11-28 00:00:00","30144.00"
"2019-08-29 00:00:00","30024.00"
"2019-07-08 00:00:00","30024.00"
"2019-08-18 00:00:00","29808.00"
"2019-07-29 00:00:00","29280.00"
"2019-06-09 00:00:00","27576.00"
"2019-09-06 00:00:00","27216.00"
"2019-02-01 00:00:00","26784.00"
"2019-05-28 00:00:00","26496.00"
"2019-07-17 00:00:00","26448.00"
"2019-02-20 00:00:00","26340.00"
"2019-08-04 00:00:00","24192.00"
"2019-09-16 00:00:00","23424.00"
"2019-03-26 00:00:00","23352.00"
"2019-06-18 00:00:00","22224.00"
"2019-09-17 00:00:00","22176.00"
"2019-05-20 00:00:00","22032.00"
"2019-11-04 00:00:00","22020.00"
"2019-01-07 00:00:00","21792.00"
"2019-09-24 00:00:00","21504.00"
"2019-08-20 00:00:00","21504.00"
"2019-12-04 00:00:00","21408.00"
"2019-11-16 00:00:00","20808.00"
"2019-03-13 00:00:00","20592.00"
"2019-01-29 00:00:00","20544.00"
"2019-09-23 00:00:00","20304.00"
"2019-03-19 00:00:00","20016.00"
"2019-04-12 00:00:00","19680.00"
"2019-04-28 00:00:00","19572.00"
"2019-02-06 00:00:00","18984.00"
"2019-08-26 00:00:00","18648.00"
"2019-11-06 00:00:00","18624.00"
"2019-09-10 00:00:00","18432.00"
"2019-05-01 00:00:00","17616.00"
"2019-06-22 00:00:00","17544.00"
"2019-07-09 00:00:00","17388.00"
"2019-04-17 00:00:00","17136.00"
"2019-01-26 00:00:00","16680.00"
"2019-11-17 00:00:00","16608.00"
"2019-05-08 00:00:00","16416.00"
"2019-02-19 00:00:00","15720.00"
"2019-01-26 00:00:00","14916.00"
"2019-10-23 00:00:00","14136.00"
"2019-11-04 00:00:00","13248.00"
"2019-12-12 00:00:00","13248.00"
"2019-04-11 00:00:00","12840.00"
"2019-05-20 00:00:00","12288.00"
"2019-06-27 00:00:00","12096.00"
"2019-12-18 00:00:00","11799.00"
"2019-03-18 00:00:00","10608.00"
"2019-06-02 00:00:00","10512.00"
"2019-07-19 00:00:00","10224.00"
"2019-03-09 00:00:00","10080.00"
"2019-02-21 00:00:00","10008.00"
"2019-12-23 00:00:00","10008.00"
"2019-02-01 00:00:00","9840.00"
"2019-01-11 00:00:00","8904.00"
"2019-04-05 00:00:00","8880.00"
"2019-12-11 00:00:00","8664.00"
"2019-08-17 00:00:00","8028.00"
"2019-01-10 00:00:00","7872.00"
"2019-10-18 00:00:00","7860.00"
"2019-06-10 00:00:00","7776.00"
"2019-10-24 00:00:00","7632.00"
"2019-09-02 00:00:00","7596.00"
"2019-12-13 00:00:00","7452.00"
"2019-01-01 00:00:00","7344.00"
"2019-09-16 00:00:00","7104.00"
"2019-12-07 00:00:00","6972.00"
"2019-05-01 00:00:00","6972.00"
"2019-10-09 00:00:00","6960.00"
"2019-03-15 00:00:00","6864.00"
"2019-06-23 00:00:00","6624.00"
"2019-02-05 00:00:00","6576.00"
"2019-07-03 00:00:00","6156.00"
"2019-12-12 00:00:00","5784.00"
"2019-04-05 00:00:00","5628.00"
"2019-10-26 00:00:00","4932.00"
"2019-06-22 00:00:00","4896.00"
"2019-03-08 00:00:00","4860.00"
"2019-01-22 00:00:00","4560.00"
"2019-12-16 00:00:00","4512.00"
"2019-06-24 00:00:00","4404.00"
"2019-02-07 00:00:00","1368.00"
"2019-04-15 00:00:00","1188.00"
"2019-02-05 00:00:00","1152.00"
"2019-10-22 00:00:00","1008.00"
"2019-06-24 00:00:00","912.00"
"2019-07-07 00:00:00","850.50"
"2019-03-16 00:00:00","782.10"
"2019-07-03 00:00:00","672.00"
"2019-07-16 00:00:00","661.05"
"2019-08-09 00:00:00","656.55"
"2019-03-16 00:00:00","609.12"
"2019-11-09 00:00:00","607.50"
"2019-04-13 00:00:00","598.50"
"2019-07-26 00:00:00","575.40"
"2019-12-27 00:00:00","574.14"
"2019-07-27 00:00:00","566.65"
"2019-11-23 00:00:00","549.90"
"2019-05-03 00:00:00","525.00"
"2019-04-26 00:00:00","518.70"
"2019-10-23 00:00:00","510.65"
"2019-03-13 00:00:00","494.55"
"2019-01-11 00:00:00","492.12"
"2019-12-07 00:00:00","491.40"
"2019-02-28 00:00:00","486.00"
"2019-05-10 00:00:00","485.00"
"2019-08-11 00:00:00","457.25"
"2019-11-06 00:00:00","447.50"
"2019-09-05 00:00:00","445.50"
"2019-03-14 00:00:00","431.50"
"2019-01-29 00:00:00","429.50"
"2019-07-17 00:00:00","419.00"
"2019-04-03 00:00:00","399.20"
"2019-02-16 00:00:00","396.00"
"2019-12-21 00:00:00","384.65"
"2019-12-30 00:00:00","377.85"
"2019-08-14 00:00:00","374.00"
"2019-08-04 00:00:00","356.40"
"2019-11-07 00:00:00","345.06"
"2019-07-14 00:00:00","339.00"
"2019-03-17 00:00:00","339.00"
"2019-07-22 00:00:00","338.00"
"2019-03-03 00:00:00","334.35"
"2019-11-23 00:00:00","323.40"
"2019-07-05 00:00:00","319.96"
"2019-09-09 00:00:00","319.20"
"2019-07-30 00:00:00","315.00"
"2019-02-02 00:00:00","312.50"
"2019-11-27 00:00:00","307.80"
