"item_code","item_name","brand","category1","category2","total_amount","total_sale","first_sale_date","last_sale_date","min_price","max_price","avg_price"
27559,"TOTAL GRAPON KAGIT MAVİ","KIRTASIYELER","EV","KITAP-DERGI-KIRTASIYE","2","2.50","2019-02-28 13:34:29","2019-02-28 13:34:29","1.25","1.25","1.25"
20568,"TUTKU BAYAN KROŞETALI ATLET 2-M BEYAZ","TUTKU","EV","TEKSTIL-GIYIM-AKSESUAR","8","38688.00","2019-06-04 21:09:50","2019-06-04 21:09:50","4836.00","4836.00","4836.00"
3010,"NAMALDI RIB. IP ASKI (SPOR)SIYAH3-L","NAMALDI","EV","TEKSTIL-GIYIM-AKSESUAR","2","25.00","2019-06-01 21:09:50","2019-06-01 21:09:50","12.50","12.50","12.50"
24925,"KITAP EPSILON ROMAN","KITAPLAR","EV","KITAP-DERGI-KIRTASIYE","9","71.10","2019-09-14 09:00:54","2019-09-14 09:00:54","7.90","7.90","7.90"
1534,"ELMA STAR 2.","ELMA","MEYVE","MALATYA MANAV","1","1.08","2019-08-09 08:15:04","2019-08-09 08:15:04","1.08","1.08","1.08"
15761,"GUMUS BAY-BAYAN PACALI DON","GUMUS","EV","TEKSTIL-GIYIM-AKSESUAR","1","2628.00","2019-06-09 08:27:11","2019-06-09 08:27:11","2628.00","2628.00","2628.00"
19553,"DALIN Y.DOGAN I.HAVLU 40'LI 3'LU PKT.*8*","DALIN","BEBEK","BEBEK MALZEMELERI","9","251.10","2019-02-17 12:36:47","2019-02-17 12:36:47","27.90","27.90","27.90"
23597,"IST.AYTAC MEY.SUYU 1/1 VISNE NEKTARI*12*","AYTAC","SOGUK ICECEKLER","GAZSIZ ICECEK","5","10080.00","2019-03-09 10:20:40","2019-03-09 10:20:40","2016.00","2016.00","2016.00"
9308,"YUMURCAK MAX ARABA","OYUNCAK","OYUNCAK","ZEKA GELISTIRICI","9","53.10","2019-09-28 18:50:39","2019-09-28 18:50:39","5.90","5.90","5.90"
22363,"YAYLA MERCIMEK 1 KG KIRMIZI YAPRAK *16*","YAYLA","GIDA","BAKLIYAT-MAKARNA","4","37.80","2019-01-19 13:16:07","2019-01-19 13:16:07","9.45","9.45","9.45"
7678,"REXONA MN ROLL-ON SHOWER FR.50 ML","REXONA","KOZMETIK","PARFUM-DEODORANT","6","119.70","2019-11-30 08:19:11","2019-11-30 08:19:11","19.95","19.95","19.95"
26000,"CANBEBE ISLAK HAVLU TEM.BAK.3X56'LI *8*","CANBEBE","KAGIT","ISLAK MENDIL-HAVLULAR","5","74.50","2019-12-12 08:57:18","2019-12-12 08:57:18","14.90","14.90","14.90"
16966,"KIRMIZI PERMANENT KALEMI","KIRTASIYELER","EV","KITAP-DERGI-KIRTASIYE","10","12.00","2019-04-19 18:12:20","2019-04-19 18:12:20","1.20","1.20","1.20"
16514,"PANTENE 470 ML 2&3/1 NEML.BAKIM *6*","PANTENE","KOZMETIK","DUS-BANYO","5","74.50","2019-04-21 20:50:12","2019-04-21 20:50:12","14.90","14.90","14.90"
17281,"KARTON KAPAK OKUL DEFTERI A5 40/4","KIRTASIYELER","EV","KITAP-DERGI-KIRTASIYE","6","16416.00","2019-05-08 21:41:26","2019-05-08 21:41:26","2736.00","2736.00","2736.00"
13791,"GARNIER SAF&TEMIZ 3 IN 1","GARNIER","KOZMETIK","KISISEL BAKIM","3","68.97","2019-01-01 15:08:47","2019-01-01 15:08:47","22.99","22.99","22.99"
