"customer_code","amount","purchase_rank"
1438366,"9","1"
809284,"9","1"
624064,"9","1"
1474080,"9","1"
1050870,"9","1"
636911,"9","1"
2329958,"9","1"
894145,"9","1"
1650925,"9","1"
2507278,"9","1"
10853,"9","1"
2406482,"9","1"
1750138,"9","1"
266415,"9","1"
1998547,"9","1"
2073760,"9","1"
2371468,"9","1"
1442155,"9","1"
91164,"9","1"
874332,"9","1"
938703,"9","1"
1988208,"8","2"
2321496,"8","2"
315670,"8","2"
296083,"8","2"
885856,"8","2"
2285568,"8","2"
952866,"8","2"
909396,"8","2"
1768937,"8","2"
1458999,"8","2"
2337454,"8","2"
406319,"8","2"
2047198,"8","2"
1769767,"8","2"
296384,"8","2"
614984,"8","2"
421756,"8","2"
1876164,"8","2"
2188394,"7","3"
2215590,"7","3"
1558856,"7","3"
462954,"7","3"
1450804,"7","3"
1722825,"7","3"
1384167,"7","3"
163298,"7","3"
745234,"7","3"
2458730,"7","3"
295555,"7","3"
2448973,"7","3"
1700468,"7","3"
1126570,"7","3"
2495171,"7","3"
602066,"7","3"
490343,"7","3"
2451057,"7","3"
2491874,"7","3"
268275,"7","3"
234782,"7","3"
643150,"7","3"
875278,"7","3"
1066513,"7","3"
1128053,"7","3"
1952058,"7","3"
803623,"6","4"
1726182,"6","4"
2063231,"6","4"
2336090,"6","4"
2371067,"6","4"
1478945,"6","4"
1308271,"6","4"
377241,"6","4"
1520506,"6","4"
970616,"6","4"
1759244,"6","4"
2262044,"6","4"
873413,"6","4"
1944650,"6","4"
867157,"6","4"
77895,"6","4"
854503,"6","4"
1454674,"6","4"
97000,"6","4"
137481,"6","4"
2355122,"5","5"
906897,"5","5"
1399058,"5","5"
1691617,"5","5"
2487499,"5","5"
1437502,"5","5"
1104811,"5","5"
1057465,"5","5"
2393295,"5","5"
1361994,"5","5"
795929,"5","5"
1213244,"5","5"
941839,"5","5"
1103344,"5","5"
244037,"5","5"
1906438,"5","5"
2091646,"5","5"
958290,"5","5"
1514001,"5","5"
1708221,"5","5"
637672,"5","5"
2194174,"5","5"
2237927,"5","5"
2340816,"5","5"
1597842,"5","5"
889788,"5","5"
1097067,"4","6"
2445879,"4","6"
1429691,"4","6"
1823925,"4","6"
2392086,"4","6"
909585,"4","6"
1063198,"4","6"
2010051,"4","6"
1239558,"4","6"
1040194,"4","6"
1331897,"4","6"
66028,"4","6"
1051645,"4","6"
290978,"4","6"
1429075,"4","6"
2510598,"4","6"
1705209,"4","6"
2482729,"4","6"
2382351,"4","6"
2036235,"4","6"
13171,"4","6"
755782,"4","6"
2399898,"3","7"
1152963,"3","7"
171253,"3","7"
2496836,"3","7"
319640,"3","7"
2456844,"3","7"
2352039,"3","7"
1598339,"3","7"
1926929,"3","7"
1058913,"3","7"
2159889,"3","7"
1866035,"3","7"
796203,"3","7"
400398,"3","7"
1416779,"3","7"
569113,"3","7"
734393,"3","7"
340391,"3","7"
2072444,"3","7"
305767,"3","7"
984004,"3","7"
2087245,"3","7"
1938442,"3","7"
285242,"3","7"
2193397,"3","7"
1355887,"2","8"
1660173,"2","8"
1845827,"2","8"
2346303,"2","8"
592692,"2","8"
1068959,"2","8"
953796,"2","8"
1029857,"2","8"
2276834,"2","8"
725897,"2","8"
957881,"2","8"
1688627,"2","8"
1509823,"2","8"
1804579,"2","8"
1135189,"2","8"
451699,"2","8"
1218910,"2","8"
436722,"2","8"
2059806,"2","8"
879073,"2","8"
839406,"2","8"
1447935,"2","8"
2491382,"2","8"
1775849,"2","8"
1479886,"2","8"
2442465,"2","8"
2313871,"2","8"
1581805,"2","8"
1187561,"2","8"
2054318,"1","9"
817896,"1","9"
1502650,"1","9"
361324,"1","9"
2330187,"1","9"
1323441,"1","9"
1903213,"1","9"
1372252,"1","9"
1411099,"1","9"
1291461,"1","9"
1092624,"1","9"
206347,"1","9"
1386601,"1","9"
1652242,"1","9"
