"customer_code","last_purchase_date","recency_segment"
10853,"2019-12-03 13:01:24","Inactive Customer"
13171,"2019-10-30 09:59:11","Inactive Customer"
66028,"2019-11-14 09:10:24","Inactive Customer"
77895,"2019-11-05 08:02:17","Inactive Customer"
91164,"2019-12-04 19:07:52","Active Customer"
97000,"2019-11-17 08:04:50","Inactive Customer"
137481,"2019-11-14 13:03:51","Inactive Customer"
163298,"2019-11-13 13:13:49","Inactive Customer"
171253,"2019-11-18 08:09:11","Inactive Customer"
206347,"2019-11-08 10:40:41","Inactive Customer"
234782,"2019-12-26 20:31:27","Active Customer"
244037,"2019-11-06 08:12:37","Inactive Customer"
266415,"2019-10-28 21:09:50","Inactive Customer"
268275,"2019-12-14 08:20:59","Active Customer"
285242,"2019-12-12 08:58:25","Active Customer"
290978,"2019-08-24 08:34:57","Dormant Customer"
295555,"2019-10-25 08:14:55","Inactive Customer"
296083,"2019-11-07 11:19:10","Inactive Customer"
296384,"2019-12-06 08:57:10","Active Customer"
305767,"2019-10-29 18:35:43","Inactive Customer"
315670,"2019-11-04 17:10:49","Inactive Customer"
319640,"2019-07-03 16:47:37","Dormant Customer"
340391,"2019-11-17 09:27:30","Inactive Customer"
361324,"2019-02-22 08:43:46","Dormant Customer"
377241,"2019-12-26 18:09:56","Active Customer"
400398,"2019-12-09 17:14:14","Active Customer"
406319,"2019-12-01 08:36:46","Inactive Customer"
421756,"2019-09-15 10:44:55","Dormant Customer"
436722,"2019-12-20 21:20:20","Active Customer"
451699,"2019-12-03 15:43:52","Active Customer"
462954,"2019-12-10 08:15:48","Active Customer"
490343,"2019-12-14 18:03:57","Active Customer"
569113,"2019-11-23 12:04:24","Inactive Customer"
592692,"2019-10-30 08:26:52","Inactive Customer"
602066,"2019-12-25 16:34:26","Active Customer"
614984,"2019-12-17 08:55:15","Active Customer"
624064,"2019-12-11 09:37:53","Active Customer"
636911,"2019-08-22 21:41:26","Dormant Customer"
637672,"2019-09-30 08:43:49","Dormant Customer"
643150,"2019-12-12 16:01:40","Active Customer"
725897,"2019-08-09 19:11:34","Dormant Customer"
734393,"2019-12-27 08:19:11","Active Customer"
745234,"2019-11-28 18:16:26","Inactive Customer"
755782,"2019-12-15 16:57:16","Active Customer"
795929,"2019-12-23 08:12:30","Active Customer"
796203,"2019-09-26 12:06:58","Dormant Customer"
803623,"2019-08-27 13:34:32","Dormant Customer"
809284,"2019-11-09 19:16:19","Inactive Customer"
817896,"2019-04-15 09:04:53","Dormant Customer"
839406,"2019-06-15 20:08:35","Dormant Customer"
854503,"2019-09-08 08:40:37","Dormant Customer"
867157,"2019-11-17 08:32:01","Inactive Customer"
873413,"2019-10-21 21:17:18","Inactive Customer"
874332,"2019-11-18 08:49:47","Inactive Customer"
875278,"2019-11-20 08:15:27","Inactive Customer"
879073,"2019-02-16 08:08:49","Dormant Customer"
885856,"2019-12-13 08:21:35","Active Customer"
889788,"2019-11-18 08:22:46","Inactive Customer"
894145,"2019-12-09 20:37:19","Active Customer"
906897,"2019-12-23 08:46:41","Active Customer"
909396,"2019-11-21 08:01:06","Inactive Customer"
909585,"2019-05-22 08:20:10","Dormant Customer"
938703,"2019-11-08 17:53:12","Inactive Customer"
941839,"2019-09-28 18:50:39","Dormant Customer"
952866,"2019-12-04 14:37:44","Active Customer"
953796,"2019-04-27 08:44:31","Dormant Customer"
957881,"2019-04-04 14:22:52","Dormant Customer"
958290,"2019-09-27 13:10:13","Dormant Customer"
970616,"2019-07-14 08:20:46","Dormant Customer"
984004,"2019-06-21 21:28:34","Dormant Customer"
1029857,"2019-11-17 16:14:46","Inactive Customer"
1040194,"2019-12-18 15:41:31","Active Customer"
1050870,"2019-12-16 08:27:11","Active Customer"
1051645,"2019-07-19 18:00:59","Dormant Customer"
1057465,"2019-12-15 08:57:28","Active Customer"
1058913,"2019-10-24 14:14:59","Inactive Customer"
1063198,"2019-06-14 12:36:47","Dormant Customer"
1066513,"2019-11-21 10:20:40","Inactive Customer"
1068959,"2019-10-29 18:52:37","Inactive Customer"
1092624,"2019-02-27 13:52:17","Dormant Customer"
1097067,"2019-08-17 08:06:42","Dormant Customer"
1103344,"2019-11-09 08:10:13","Inactive Customer"
1104811,"2019-12-06 08:14:22","Active Customer"
1126570,"2019-09-21 13:34:29","Dormant Customer"
1128053,"2019-07-24 08:28:22","Dormant Customer"
1135189,"2019-07-06 12:38:57","Dormant Customer"
