"month_year","total_revenue","growth_rate"
"2019-01-01 00:00:00","1385526.34",NULL
"2019-02-01 00:00:00","637000.67","-54.02"
"2019-03-01 00:00:00","252365241.17","39517.74"
"2019-04-01 00:00:00","2507499.13","-99.01"
"2019-05-01 00:00:00","664687618.66","26407.99"
"2019-06-01 00:00:00","847898.71","-99.87"
"2019-07-01 00:00:00","1436237.45","69.39"
"2019-08-01 00:00:00","1847352.57","28.62"
"2019-09-01 00:00:00","600503.40","-67.49"
"2019-10-01 00:00:00","664966.32","10.73"
"2019-11-01 00:00:00","766899.52","15.33"
"2019-12-01 00:00:00","2797007.29","264.72"
