"city","unique_customer_count"
"Adana","6"
"Adıyaman","2"
"Afyonkarahisar","1"
"Aksaray","3"
"Ankara","24"
"Antalya","4"
"Aydın","2"
"Balıkesir","5"
"Bartın","1"
"Batman","2"
"Bilecik","1"
"Bingöl","1"
"Bolu","1"
"Bursa","7"
"Çankırı","1"
"Denizli","1"
"Diyarbakır","3"
"Edirne","1"
"Erzurum","3"
"Eskişehir","3"
"Gaziantep","8"
"Giresun","1"
"Gümüşhane","1"
"Hakkari","2"
"Isparta","1"
"Kahramanmaraş","2"
"Karaman","2"
"Kayseri","3"
"Kilis","1"
"Kocaeli","2"
"Konya","3"
"Kütahya","1"
"Kırşehir","1"
"Kırıkkale","1"
"Malatya","1"
"Manisa","2"
"Mersin","1"
"Rize","1"
"Sakarya","4"
"Samsun","2"
"Siirt","1"
"Tokat","1"
"Trabzon","1"
"Uşak","1"
"Yozgat","1"
"Zonguldak","2"
"Şanlıurfa","1"
"İstanbul","65"
"İzmir","16"
